,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,Run,BioSample,AGE,AvgSpotLen,Bases,biomaterial_provider,Bytes,Experiment,Instrument,isolate,Library Name,create_date,Sample Name,sex,tissue,treatment,cell_line
1,SRR11182125,SAMN14174445,not applicable,75,36.98 M,not applicable,11.94 Mb,SRX7802882,NextSeq 500,synthetic plasmid source,expRW086_pool_12_S12_L004,2020-02-2519:20:00Z,expRW086_pool_12_S12_L004,not applicable,not applicable,expRW086_pool_12_S12_L004,
2,SRR11182126,SAMN14174444,not applicable,75,273.75 M,not applicable,88.40 Mb,SRX7802881,NextSeq 500,synthetic plasmid source,expRW086_pool_12_S12_L003,2020-02-2519:21:00Z,expRW086_pool_12_S12_L003,not applicable,not applicable,expRW086_pool_12_S12_L003,
3,SRR11182127,SAMN14174443,not applicable,75,266.28 M,not applicable,85.66 Mb,SRX7802880,NextSeq 500,synthetic plasmid source,expRW086_pool_12_S12_L002,2020-02-2519:21:00Z,expRW086_pool_12_S12_L002,not applicable,not applicable,expRW086_pool_12_S12_L002,
4,SRR11182128,SAMN14174442,not applicable,75,269.23 M,not applicable,86.43 Mb,SRX7802879,NextSeq 500,synthetic plasmid source,expRW086_pool_12_S12_L001,2020-02-2519:22:00Z,expRW086_pool_12_S12_L001,not applicable,not applicable,expRW086_pool_12_S12_L001,
5,SRR11182129,SAMN14174441,not applicable,75,31.54 M,not applicable,10.24 Mb,SRX7802878,NextSeq 500,synthetic plasmid source,expRW086_pool_11_S11_L004,2020-02-2519:20:00Z,expRW086_pool_11_S11_L004,not applicable,not applicable,expRW086_pool_11_S11_L004,
6,SRR11182130,SAMN14174440,not applicable,75,234.07 M,not applicable,75.76 Mb,SRX7802877,NextSeq 500,synthetic plasmid source,expRW086_pool_11_S11_L003,2020-02-2519:21:00Z,expRW086_pool_11_S11_L003,not applicable,not applicable,expRW086_pool_11_S11_L003,
7,SRR11182131,SAMN14174439,not applicable,75,227.42 M,not applicable,73.35 Mb,SRX7802876,NextSeq 500,synthetic plasmid source,expRW086_pool_11_S11_L002,2020-02-2519:21:00Z,expRW086_pool_11_S11_L002,not applicable,not applicable,expRW086_pool_11_S11_L002,
8,SRR11182132,SAMN14174438,not applicable,75,229.76 M,not applicable,73.91 Mb,SRX7802875,NextSeq 500,synthetic plasmid source,expRW086_pool_11_S11_L001,2020-02-2519:22:00Z,expRW086_pool_11_S11_L001,not applicable,not applicable,expRW086_pool_11_S11_L001,
9,SRR11182133,SAMN14174437,not applicable,75,33.76 M,not applicable,10.98 Mb,SRX7802874,NextSeq 500,synthetic plasmid source,expRW086_pool_10_S10_L004,2020-02-2519:20:00Z,expRW086_pool_10_S10_L004,not applicable,not applicable,expRW086_pool_10_S10_L004,
10,SRR11182134,SAMN14174436,not applicable,75,250.02 M,not applicable,81.19 Mb,SRX7802873,NextSeq 500,synthetic plasmid source,expRW086_pool_10_S10_L003,2020-02-2519:21:00Z,expRW086_pool_10_S10_L003,not applicable,not applicable,expRW086_pool_10_S10_L003,
11,SRR11182136,SAMN14174435,not applicable,75,243.09 M,not applicable,78.66 Mb,SRX7802871,NextSeq 500,synthetic plasmid source,expRW086_pool_10_S10_L002,2020-02-2519:21:00Z,expRW086_pool_10_S10_L002,not applicable,not applicable,expRW086_pool_10_S10_L002,
12,SRR11182137,SAMN14174434,not applicable,75,244.92 M,not applicable,79.10 Mb,SRX7802870,NextSeq 500,synthetic plasmid source,expRW086_pool_10_S10_L001,2020-02-2519:21:00Z,expRW086_pool_10_S10_L001,not applicable,not applicable,expRW086_pool_10_S10_L001,
13,SRR11182586,SAMN14174409,not applicable,75,55.94 M,not applicable,18.00 Mb,SRX7803024,NextSeq 500,synthetic plasmid source,expRW086_pool_03_S3_L004,2020-02-2519:24:00Z,expRW086_pool_03_S3_L004,not applicable,not applicable,expRW086_pool_03_S3_L004,
14,SRR11182587,SAMN14174408,not applicable,75,414.83 M,not applicable,133.56 Mb,SRX7803023,NextSeq 500,synthetic plasmid source,expRW086_pool_03_S3_L003,2020-02-2519:25:00Z,expRW086_pool_03_S3_L003,not applicable,not applicable,expRW086_pool_03_S3_L003,
15,SRR11182588,SAMN14174407,not applicable,75,403.32 M,not applicable,129.29 Mb,SRX7803022,NextSeq 500,synthetic plasmid source,expRW086_pool_03_S3_L002,2020-02-2519:25:00Z,expRW086_pool_03_S3_L002,not applicable,not applicable,expRW086_pool_03_S3_L002,
16,SRR11182589,SAMN14174406,not applicable,75,406.75 M,not applicable,130.20 Mb,SRX7803021,NextSeq 500,synthetic plasmid source,expRW086_pool_03_S3_L001,2020-02-2519:25:00Z,expRW086_pool_03_S3_L001,not applicable,not applicable,expRW086_pool_03_S3_L001,
